what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1428986818967
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1428986818968
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1428986818968
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1428986818969
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1428986818970
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1428986818970
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1428986818972
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1428986818973
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1428986818974
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1428986818975
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1428986818976
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1428986818977
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1428986818977
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1428986818978
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1428986818980
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1428986819004
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1428986819005
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1428986819086
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1428986819088
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1428986819089
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1428986819091
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1428986819092
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1428986819094
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1428986819097
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1428986819099
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1428986819099
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1428986819102
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1428986819130
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1428986819132
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1428986819135
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1428986819137
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1428986819140
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1428986819142
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1428986819154
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1428986819156
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1428986819158
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1428986819159
os,sysinfo,,,"win32",1428986819167
arch,sysinfo,,,"x86_64",1428986819167
ws,sysinfo,,,"win32",1428986819167
locale,sysinfo,,,"en_GB",1428986819167
processors,sysinfo,,,"4",1428986819167
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1428986819167
java.runtime.version,sysinfo,,,"1.7.0_25-b17",1428986819167
java.specification.name,sysinfo,,,"Java Platform API Specification",1428986819167
java.specification.vendor,sysinfo,,,"Oracle Corporation",1428986819167
java.specification.version,sysinfo,,,"1.7",1428986819167
java.vendor,sysinfo,,,"Oracle Corporation",1428986819167
java.version,sysinfo,,,"1.7.0_25",1428986819167
java.vm.info,sysinfo,,,"mixed mode",1428986819167
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1428986819167
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1428986819167
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1428986819167
java.vm.specification.version,sysinfo,,,"1.7",1428986819167
java.vm.vendor,sysinfo,,,"Oracle Corporation",1428986819167
java.vm.version,sysinfo,,,"23.25-b01",1428986819167
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1428986819224
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1428986819602
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1428986820039
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1428986820296
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1428986820503
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1428986820536
error,log,,,"DDMS files not found: C:\\Users\\Luana\\Desktop\\Eclipse\\eclipse\\platform-tools\\adb.exe C:\\Users\\Luana\\Desktop\\Eclipse\\eclipse\\tools\\hprof-conv.exe C:\\Users\\Luana\\Desktop\\Eclipse\\eclipse\\tools\\traceview.bat ",1428986820679
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1428986820875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1428986823392
